Protein_Accession,Gene_Name,Protein_Descriptions,Protein_Name,Number_Unique_Peptides,NR_1.Post_1,NR_1.Pre_2,NR_2.Post_3,NR_2.Pre_4,R_16.Post_5,R_16.Pre_6,R_17.Post_7.,R_17.Pre_8,NR_3.Post_9,NR_3.Pre_10,R_18.Post_11,R_18.Pre_12,R_19.Post_13,R_19.Pre_14,R_20.Post_15,R_20.Pre_16,R_21.Post_17,R_21.Pre_18,R_22.Post_19,R_22.Pre_20,NR_5.Post_21,NR_5.Pre_22,R_23.Post_23,R_23.Pre_24,R_24.Post_25,R_24.Pre_26,NR_6.Post_27,NR_6.Pre_28,R_25.Post_29,R_25.Pre_30,NR_7.Post_31,NR_7.Pre_32,NR_8.Post_33,NR_8.Pre_34,R_29.Post_35,R_29.Pre_36,NR_12.Post_37,NR_12.Pre_38,R_30.Post_39,R_30.Pre_40,NR_13.Post_41,NR_13.Pre_42,NR_14.Post_43,NR_14.Pre_44,NR_15.Post_45,NR_15.Pre_46,R_26.Post_47,R_26.Pre_48,R_28.Post_49,R_28.Pre_50,NR_10.Post_51,NR_10.Pre_52,NR_11.Post_53,NR_11.Pre_54
P61626,LYZ,Lysozyme C,LYSC_HUMAN,21,64819128,88131664,30396704,38267072,68394088,50484084,159810416,118465176,58320648,58559572,13645389,70501064,111634592,78440816,99317808,51775500,74458544,78790752,169431680,101789944,29475910,29232244,104749784,88180792,33228672,27089488,108730544,59325668,81617184,155868384,57153516,99439192,71455768,131760584,38904884,54960404,60606504,57433692,51594024,59158396,52030500,65292580,26909830,45297664,101923184,60452100,80559896,58957400,76130320,74376768,65792688,194960864,69929272,78145128
P01877,IGHA2,Immunoglobulin heavy constant alpha 2,IGHA2_HUMAN,26,22060250,42064988,15816474,13573791,41635244,15903253,48209136,20991238,57820096,56939400,9514785,19021872,24873854,23053954,72818544,29186842,63404996,33032856,44354472,25593000,19640698,13323991,68322936,41651916,10542332,14605422,24982104,14370953,24908598,84732008,37736920,71388560,28272558,27299164,26310588,50236092,32738576,36987248,25467376,27265272,24741244,28924942,11784083,20407718,25832360,17997114,51021916,33093636,31312154,27951066,47788776,50067800,87764504,50257404
P01876,IGHA1,Immunoglobulin heavy constant alpha 1,IGHA1_HUMAN,19,15479590,37625912,10208903,17411216,26743002,8770619,44307440,18945510,37498616,37404824,4425351,15506328,21967492,14348076,62568044,31356284,47434592,25134690,26428944,23398980,15541883,13031244,44284564,37560996,5337410.5,10383981,21740904,13471888,30883096,68270760,29241268,50956872,28173992,28662990,16987900,26123036,20989514,18983746,30031852,25752412,27130936,25413106,9944341,14870203,32377382,16222550,45050984,25297714,26496618,22352402,35715656,48121812,34948236,26980310
P02768,ALB,Albumin,ALBU_HUMAN,111,24605874,15046185,3849758.5,10269878,37167876,37853908,23937862,31523844,20782804,30379882,32553438,18453470,15642584,19901262,32821346,29993828,17948708,14223501,11639955,19700000,51720544,31354490,18960838,22888462,5214911.5,7533837.5,32287476,18872434,23317246,129481552,5197217.5,7517345.5,46436196,25734010,20956082,15399825,13469606,64964708,19246088,22058998,8859621,30826070,5741101.5,9766167,23754696,35173596,12769630,12790221,12739557,20100892,25795572,53819984,11479106,33682988
P01834,IGKC,Immunoglobulin kappa constant,IGKC_HUMAN,3,10251611,23780070,5838665.5,11111163,17627460,11798886,21111822,11845215,20589776,23386760,3742605.75,11740457,12566926,11192057,36621800,21815318,19932830,7300248.5,17717544,11522333,15358761,9154568,28233624,15120945,3879356.5,4090990.75,23337626,10174134,19740584,69128640,14639858,21782438,16135909,12697201,15103476,13159341,15135636,37436196,17393744,20019884,12894513,18072592,7004983,7254893,20500068,17385894,21898422,15646760,17069230,7808115.5,12224238,26033636,8252182.5,17545114
P0DTE7;P0DTE8;P0DUB6,AMY1B;AMY1C;AMY1A,Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A,AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN,43,15135001,4211979,121132528,12570474,4974127,9120573,3578920,7635247,21302372,15357931,258643.2031,10395023,9150350,6200898.5,3576116.25,2445800,1877492.625,10459774,20856608,14693695,12439778,11166073,24325392,2610767.25,79615600,69875112,3680031,3671223.5,6886615,13544820,1177858.75,1707826.75,3959874,5106987.5,9967013,1301972.25,40584920,53304336,3150343,3460807,3764274.5,11037643,30784294,46733392,3932506.75,4589779,12964920,20496752,9089169,20601276,7792469,21065250,2210601.25,7292686
Q8TDL5,BPIFB1,BPI fold-containing family B member 1,BPIB1_HUMAN,42,17202738,24515476,2456729.5,8260475.5,1665823.375,2460432.75,38554188,30823062,16673354,14573241,719618.3125,14682416,23070160,11734510,5595519,8715922,11131964,20417752,15617266,15141889,3748108.75,3077855.25,20044998,22736714,1151511.125,1443482.5,22674188,15400347,25796710,46469628,4006325,5104755.5,17953450,7707666.5,13058363,1892506.125,9855193,13316075,19135770,20783132,16763503,10420015,8197059.5,15072169,22014392,31468668,8899898,10617304,6282035.5,6137818,14736350,52612228,20887178,16893440
Q9UGM3,DMBT1,Deleted in malignant brain tumors 1 protein,DMBT1_HUMAN,40,17096986,19237548,3186652.25,9046697,5865107.5,9998884,29090870,21878060,9238883,12437005,879094.25,10420050,13385508,8821115,12055664,5360248.5,13791907,8292951,27760074,13804785,4459517.5,3635126.25,14566428,8114429,4398666,4164016.5,15070008,9573085,16309238,40574344,22132830,34199772,9756609,11062847,7271356.5,6033940,5438346,4474086,7416959.5,7113928,6510672.5,11046442,3877655.75,6031854.5,12121450,10506793,21166176,10571445,12915855,6575782.5,9440590,30210072,18258722,12512164
P0DOX8,,Immunoglobulin lambda-1 light chain,IGL1_HUMAN,18,8172054.5,16779866,4220745,5886997,14253492,5671697,16694408,8024459,12515949,13072891,5745791,8452855,8150518.5,6777950,26135218,13515392,18614244,11783539,11097702,9327123,10380790,7052171,14907099,12005510,2868380,4452742.5,11852500,6542622.5,14936635,40201364,10674550,18218242,13305215,9906310,7506361,11909516,10887264,13584350,9787209,9004705,9433703,9851752,3293670.75,6247213.5,10016175,7257638.5,11703996,8182369.5,8857396,7490314.5,13048264,20357904,13878615,12528691
P01036,CST4,Cystatin-S,CYTS_HUMAN,15,1265320.625,623540.25,73517864,6623025.5,9487101,11047188,8929099,14088780,10077011,6154354.5,139077.9531,9632159,27626096,8511705,5499276.5,2912998.75,1304565.375,7475780,21927844,7119595.5,5686948,3689735.25,16376561,2384410.25,9451088,14188664,8118765.5,5347361.5,5386202.5,14564014,966037.8125,1109687.625,916991.8125,954251.125,8054592.5,792703.6875,29525722,41784752,10907886,8040608,9138133,18453790,26519612,24510110,3146828,2560753.5,2190163,2771680,18123664,49329396,2494959.5,3874267,3443115.75,10652427
