Gene_Name,Post_1,Post_10,Post_11,Post_12,Post_13,Post_14,Post_15,Post_16,Post_17,Post_18,Post_19,Post_2,Post_20,Post_21,Post_22,Post_23,Post_24,Post_25,Post_26,Post_28,Post_29,Post_3,Post_30,Post_5,Post_6,Post_7,Post_8,Pre_1,Pre_10,Pre_11,Pre_12,Pre_13,Pre_14,Pre_15,Pre_16,Pre_17,Pre_18,Pre_19,Pre_2,Pre_20,Pre_21,Pre_22,Pre_23,Pre_24,Pre_25,Pre_26,Pre_28,Pre_29,Pre_3,Pre_30,Pre_5,Pre_6,Pre_7,Pre_8
A1BG,139826.4235,101603.0203,59228.08793,51496.3873,69880.50065,36797.69084,75258.36224,171735.7879,56656.08381,297605.8778,51841.25917,18106.33594,84123.6931,44495.59296,40813.4304,50865.44011,25366.31926,72769.85512,57850.31864,50962.51967,117599.2598,112364.6185,99917.72051,340986.556,122841.9419,30545.2403,189500.4063,71369.25945,94238.78473,120061.1389,193284.0248,126893.1597,52321.46738,154429.0859,190787.6483,89496.1757,77998.13041,111173.5621,98255.6102,123267.1672,35489.36453,62692.88336,73005.69807,36703.97608,179974.5356,63383.71688,74262.38395,64687.22135,106878.7478,107937.1824,219793.3162,102756.7618,24618.84485,80431.22381
A2M,393300.354,578033.8507,195041.2089,265209.9946,180998.6539,176369.2027,218521.6506,167844.6721,272997.8619,1505820.21,91064.07083,60032.61727,157019.4446,321260.8495,74320.31587,163404.9179,180663.2223,449408.2411,381152.2828,235836.5372,644540.3347,140144.4274,163950.4906,3917590.35,501642.7762,107436.7313,1092240.337,234144.6787,629191.791,508678.4853,1267259.937,656274.8621,211940.766,1114294.384,300921.907,619417.1053,497569.8577,1185938.087,491285.0363,329092.6501,53293.32344,76031.87864,141753.3725,259112.4638,1246019.374,116892.6471,513669.8307,211783.1104,148434.4109,184372.0114,1863686.316,202141.8251,54438.92631,496196.0052
A2ML1,96053.65595,93148.0953,4611.909344,23138.92472,35784.44759,182980.5743,27947.56726,27688.18389,22899.17349,2120.123652,47211.31617,97704.94936,7907.745406,2270.719779,33856.95427,33782.23181,143750.0161,26259.17452,22376.91663,111475.7576,31717.37282,10761.30094,22728.60736,58827.53943,46723.43139,1365.79673,13263.58272,13130.38779,45164.79832,2622.842151,18978.67597,81461.21464,61318.95163,29671.95139,84550.53517,13282.95232,81395.03205,59923.27935,30760.58407,16971.86005,27295.54565,10671.43825,5957.808445,179397.1881,16209.47846,29653.12904,25750.04611,1720.386412,21885.30421,19959.36387,130550.7,25568.76917,1274.205077,19505.93562
AAMDC,1948.490303,1526.596821,452.5269596,2396.409728,1178.593203,2901.197238,5550.681987,4292.514488,9818.554949,2227.040144,1283.777769,1271.382751,6266.991462,1919.703392,1006.295052,2390.855454,706.0086188,682.9138627,1647.561742,1470.286272,1297.170596,4240.033248,1549.434168,880.9560437,5794.519277,1297.490172,1766.608468,1794.392051,1375.955299,663.7878737,818.1478409,2123.796329,2756.373542,6702.290998,13705.14971,6878.276454,4034.536222,883.3584865,1142.112922,7716.257554,4055.938653,7949.914004,6764.261158,725.2777103,564.1130445,5098.777085,1963.100753,467.5598607,3715.441816,3121.702389,3525.981577,6622.382845,743.80933,1244.674993
AARS1,3763.306212,3794.54196,1937.823054,1999.318217,4578.954077,6197.384452,5699.839685,2757.043995,5728.9421,5760.927532,6037.043299,2304.456605,4729.505074,3946.200148,4192.047088,5109.661785,4106.599508,3926.523591,3270.919322,6141.664296,5103.14844,5313.881803,3451.610284,2300.62496,6038.849081,1492.44302,4133.887734,4352.367065,6544.022882,2416.31204,2778.910222,3315.746675,7587.039189,10079.62104,9799.644056,7895.895676,4854.10775,2381.799247,4107.89318,7864.579514,7688.773896,11675.33578,7874.994193,2892.82167,3270.925224,9069.40745,2040.678747,3262.676413,8034.266477,4910.978863,6264.563836,10540.87933,2212.870991,2014.58508
ABCA13,3353.885739,32033.7339,23673.44936,9834.397686,12827.51048,5619.406381,15316.92294,2969.984889,29481.84609,2701.215047,6791.879607,2171.891404,15439.88453,15669.20361,36235.73133,10252.06697,1907.027283,8434.183439,15358.19562,8366.82644,21117.69122,5441.371079,8315.851527,1887.716359,13917.50765,3385.674851,11981.74595,9647.34343,13785.90117,7031.244969,2942.994782,4842.382215,12584.9953,11992.00605,3386.506248,8699.868883,3784.351107,3038.02876,12981.92928,14475.11078,7596.404347,21711.62276,15909.05958,1686.039676,6648.967017,11674.16361,5982.191507,3152.670032,4560.228729,6815.096602,2471.991901,22008.5554,9246.681977,15965.21185
ABHD14B,3930.047525,17637.53499,5487.15263,9536.524109,14425.30026,7599.886496,19294.79266,6708.537075,15848.81586,9889.053201,20968.25699,2456.81461,15149.46433,9579.903621,11985.20708,13080.93985,2671.600348,9555.239979,6228.774912,14477.22974,19215.01204,10087.22021,16379.39481,8399.273604,16470.74732,4540.681767,7324.953752,5607.970109,23896.44286,12511.51274,14356.01745,10992.65211,17470.52156,34580.45981,57947.97656,26322.15825,17289.35768,7346.583128,15496.19786,26712.69207,15948.30205,38028.51206,19893.57004,3056.126891,9954.130991,28515.3878,6710.665503,6141.874933,17571.26693,20976.17671,7863.65624,33478.70232,3987.956283,8890.408774
ABI1,3368.741078,3919.011476,636.9299432,5568.936735,3706.703451,3663.695239,6479.936068,6892.963399,6352.592262,5716.733578,7545.842361,996.3889892,9063.57972,3356.821714,3120.162977,3736.188521,3465.837545,2592.704963,2306.822257,3838.219598,7759.901592,8809.824013,5433.800551,7505.011139,4334.060592,1669.645607,2554.749313,4404.620736,4359.74064,3759.313101,5499.576059,4689.385291,7396.718104,5947.245318,15413.66338,4221.531487,6400.492519,3926.988704,4707.898893,9621.661571,7172.52244,8242.279487,6459.736162,1964.420166,2837.534879,6931.603584,1544.925634,4641.543345,9833.60134,6641.957719,8622.05968,7037.419746,1267.116413,1890.428297
ABO,1502.004995,812.3728412,1772.579685,1263.483234,23693.50284,2180.244517,14089.45813,12610.81618,14807.7076,2644.666656,2080.309102,4636.065921,8617.634334,1485.832806,4523.981285,15759.06378,1103.072653,5922.161146,829.4592603,823.8161683,749.3493246,11367.04166,1032.7444,3099.913418,14822.66451,1129.117188,1030.585247,1822.495227,853.6458162,1090.439747,664.3303862,6835.210506,4309.071585,26868.11084,18048.93502,20177.44532,1424.029093,1232.145389,1491.942007,15103.84179,1211.365106,6175.959585,27695.14692,1139.62583,6669.597339,2042.891608,735.8822733,1201.639288,10400.0593,1010.624884,3237.848083,13010.77277,708.4653651,708.8712057
ABR,1488.920452,1035.908618,1310.558258,1584.657491,1316.865098,1203.072847,1363.378554,616.6430573,2475.666776,2568.70845,3894.342866,748.1351222,2994.018104,4285.86023,1111.175365,1910.673467,1165.865498,1092.271906,1649.067726,1945.489856,4542.849975,1664.572406,506.6699572,5233.691978,4121.049553,769.5243113,1329.621273,1315.761642,2155.372161,694.7548331,998.8204524,1831.821323,4041.4002,3637.115362,7584.38633,3903.449747,1010.143683,739.3566087,1235.624687,1890.520427,755.1651177,5052.980724,1455.353272,599.0446439,1232.647754,3474.395366,2123.26253,555.8788791,3118.411297,1291.978366,2248.099476,4251.235396,453.9736427,520.7946734
